,0
Q006,0.0970964541552446
Q024,0.08338478911120983
Q003,0.06286756467077659
Q001,0.05698706004106269
Q004,0.05430880450944997
Q002,0.05197550773208848
Q008,0.051342175995604755
Q010,0.04572398389418564
Q018,0.03927257194387246
Q019,0.03470023824880775
TP_ESCOLA,0.03410501020452372
Q016,0.03058803133572341
Q014,0.030343875919470076
TP_COR_RACA,0.028206415533633233
Q013,0.027933010830479166
Q022,0.023355187054772575
Q009,0.02124467057193824
Q007,0.015695142243049354
Q021,0.013745500171174596
Q025,0.013662455434597875
TP_SEXO,0.01278538690570774
Q017,0.00984446532993366
Q023,0.009569598401062196
Q020,0.008191335324407634
Q012,0.00775600548985067
Q015,0.00724654373004463
Q005,0.006829483831912508
TP_FAIXA_ETARIA,0.005211277350682497
Q011,0.001690653677385745
TP_ESTADO_CIVIL,0.0007301097589691441
