,0
Q006,0.08992298670930365
Q024,0.07670048055215606
Q003,0.061603359234498445
Q004,0.056800582659653376
Q001,0.0550960446602442
Q002,0.05193215530548878
Q008,0.04330678766186624
Q010,0.03926060211245108
Q018,0.03710301833906482
Q019,0.03462166277062062
Q016,0.03334022636966005
Q014,0.03209906823805175
Q013,0.03179690498885246
TP_COR_RACA,0.029049734518542536
Q022,0.026821039320377604
TP_ESCOLA,0.02626512001716108
Q009,0.01607997622118207
Q025,0.015711445718853856
Q021,0.01302359610246806
Q007,0.010907065779628189
Q023,0.009450410403808451
Q017,0.007237229399011502
Q020,0.007008817668855638
TP_FAIXA_ETARIA,0.006737927854369108
Q012,0.006668204233703623
Q005,0.006314035786211036
Q015,0.0060596376422050735
Q011,0.0027100763830212315
TP_SEXO,0.0014723626783332833
TP_ESTADO_CIVIL,0.0012223476895103502
