,0
Q006,0.06077501142984154
Q002,0.05225228715399677
Q024,0.05135824902171793
Q003,0.050051040055810514
Q001,0.050024208067537046
Q004,0.04689072695013463
Q008,0.04560764879102086
TP_ESCOLA,0.0376548360592277
Q010,0.03765389610948455
TP_FAIXA_ETARIA,0.03395393055508267
Q019,0.03217286763919325
Q018,0.03007035513348244
Q013,0.02841610337091449
TP_COR_RACA,0.027552059174954735
Q007,0.02752068533939367
TP_ESTADO_CIVIL,0.027509100328952263
Q025,0.02652943638763694
Q022,0.026399859196813757
Q016,0.025582595771030503
Q009,0.024073523365451432
Q021,0.023694611960076717
Q017,0.023477165195716854
Q014,0.022537555060366143
Q012,0.022143912481047856
Q023,0.021084817238448572
Q020,0.01925827222111387
Q015,0.018717846015943174
TP_SEXO,0.017385036065188597
Q011,0.013202564223964819
Q005,0.011445880619891824
