,0
Q006,0.0879537329949982
Q024,0.07816405587489195
Q003,0.05777617271428204
Q004,0.05092936788195246
Q001,0.050392440191759036
Q002,0.04714051117000784
Q008,0.04328698070238546
Q010,0.03763469456814317
Q018,0.03499036469000005
Q019,0.032357010654809226
TP_ESCOLA,0.030651786459970465
Q014,0.029976472838486146
Q016,0.02914673927511946
TP_COR_RACA,0.026950232943343533
Q013,0.026786696152707457
Q022,0.02268483773860508
Q009,0.016008610159417014
Q025,0.013919056302020616
Q021,0.012239751401581733
Q007,0.011110103721450715
Q023,0.009026469741810983
Q017,0.007226609705432763
Q020,0.006767014080251155
Q005,0.006468540579380289
Q012,0.006417610940951057
TP_FAIXA_ETARIA,0.0063643024920119196
Q015,0.005860465791128533
TP_SEXO,0.003993595257915761
Q011,0.002542541311665092
TP_ESTADO_CIVIL,0.0006619383724508765
