Q006,Q024,Q003,Q001,Q004,Q002,Q008,Q010,Q018,Q019,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,cluster
4,2,1,3,5,5,1,0,0,1,549.4,579.3,630.9,708.4,900.0,2
5,1,1,5,3,6,1,1,1,2,543.3,631.4,580.6,765.1,800.0,2
4,2,1,3,1,3,3,1,0,3,545.7,318.1,463.9,484.9,520.0,0
3,0,1,3,3,4,1,0,0,1,496.9,558.9,561.1,382.0,580.0,2
10,1,3,5,3,5,3,1,1,1,557.4,611.2,564.0,628.3,880.0,1
2,0,2,1,1,4,1,1,0,1,575.2,600.1,609.2,614.8,740.0,2
1,0,0,1,0,2,1,0,0,1,483.3,587.8,517.6,475.4,480.0,0
1,0,2,4,1,4,1,0,0,1,550.7,633.8,658.5,421.3,620.0,0
1,0,2,2,1,3,1,0,0,1,376.2,461.3,451.6,368.6,520.0,0
2,0,3,4,1,3,1,0,0,1,390.6,524.9,427.4,464.1,460.0,0
1,0,0,3,2,4,1,0,0,1,421.4,492.3,477.5,389.2,440.0,0
2,0,1,4,1,4,1,0,0,1,541.4,602.1,588.8,662.2,600.0,2
1,0,0,2,0,1,1,0,0,1,456.1,521.3,459.3,334.3,480.0,0
8,1,3,6,3,5,2,1,0,2,519.4,485.3,524.3,578.2,460.0,1
8,1,3,6,3,6,2,1,1,2,464.6,561.6,519.7,614.1,680.0,1
2,1,0,4,4,6,3,1,1,1,520.9,550.8,598.3,527.4,800.0,2
3,0,3,3,3,4,2,0,1,2,516.9,542.7,526.3,526.4,600.0,2
2,0,2,7,1,7,1,0,0,1,342.5,449.9,485.1,440.1,440.0,0
1,0,2,4,1,4,2,0,1,1,527.9,562.5,495.6,459.2,600.0,2
0,0,1,4,1,4,1,1,0,1,516.7,543.7,545.7,645.8,580.0,2
6,1,1,5,1,5,1,1,1,2,576.2,601.0,474.2,505.0,700.0,2
1,0,5,4,1,4,1,1,0,1,535.7,575.4,592.5,566.2,880.0,0
1,0,0,1,0,4,2,0,1,1,471.7,502.5,564.2,415.0,600.0,2
3,1,1,4,1,4,2,1,0,1,489.3,428.7,481.5,415.5,500.0,2
3,1,4,4,3,5,1,1,1,1,385.1,491.6,413.4,445.3,380.0,2
