Q006,Q024,Q003,Q001,Q004,Q002,Q008,Q010,Q018,Q019,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,cluster
5,1,2,4,1,7,2,1,0,1,605.3,618.0,608.7,754.8,920.0,2
1,0,0,1,0,2,1,0,0,1,536.4,558.2,515.0,441.1,600.0,0
1,0,0,1,0,0,1,0,0,1,454.4,537.2,530.4,637.6,600.0,0
1,0,0,0,0,0,1,1,0,1,524.3,602.4,607.4,601.9,560.0,0
3,0,5,7,3,7,2,0,0,1,553.7,629.4,614.5,682.0,780.0,2
1,1,5,7,1,2,1,0,0,1,487.7,505.1,472.3,637.9,340.0,0
6,1,0,3,3,6,1,1,0,1,467.1,569.3,527.5,529.6,820.0,2
1,0,5,7,1,2,1,0,0,1,426.6,398.4,335.2,456.1,580.0,0
16,1,3,5,3,5,3,2,0,3,519.8,602.7,602.6,700.7,720.0,1
2,0,1,4,1,4,1,0,0,2,516.4,529.2,556.7,426.5,680.0,0
6,1,1,4,1,4,2,1,1,1,600.1,615.7,636.3,777.3,680.0,2
11,1,4,6,5,4,3,2,1,3,484.5,592.7,556.2,758.8,740.0,1
2,0,1,4,1,4,1,0,0,1,393.5,445.9,360.7,356.1,680.0,0
3,1,1,3,4,4,2,0,1,3,570.7,442.9,529.6,496.5,560.0,2
4,1,2,4,3,4,1,1,0,1,480.2,499.6,485.5,466.1,460.0,2
4,1,1,3,1,4,1,1,0,1,529.9,610.8,574.8,588.3,920.0,2
5,1,4,5,3,5,2,1,0,2,641.8,680.3,630.0,737.2,940.0,1
8,1,5,1,3,4,4,2,1,2,495.0,539.8,524.6,500.7,720.0,1
10,2,3,5,4,5,2,2,1,3,603.6,599.0,592.6,678.8,920.0,1
3,1,5,7,1,1,1,0,0,1,471.3,462.7,520.9,409.9,740.0,0
6,0,3,4,3,6,2,1,1,1,567.3,626.2,553.6,686.1,760.0,2
4,1,0,4,3,5,2,1,1,1,464.0,553.3,494.1,510.2,500.0,2
1,0,1,4,0,4,1,0,0,1,595.1,505.2,556.4,407.6,540.0,0
1,0,0,0,0,1,1,0,0,1,517.1,527.5,426.1,381.4,800.0,0
3,1,0,1,1,4,1,0,0,2,541.5,579.9,537.2,692.0,620.0,0
5,1,3,6,3,3,1,0,0,1,553.2,651.7,567.1,650.9,780.0,2
1,1,2,4,1,4,2,0,0,0,462.7,509.8,509.1,500.7,360.0,2
1,1,1,2,0,1,2,0,0,1,392.6,425.7,444.8,377.3,0.0,0
7,1,4,5,1,4,2,1,1,2,636.4,652.9,571.2,609.1,700.0,2
4,0,2,2,1,2,2,1,1,1,571.6,615.3,553.7,680.2,420.0,2
2,0,2,2,2,2,1,0,0,1,443.7,534.2,494.0,485.4,600.0,0
2,1,2,3,1,3,2,1,1,2,552.8,584.5,537.8,647.6,860.0,2
0,0,0,1,0,1,0,0,0,1,557.0,476.3,296.4,350.2,360.0,0
1,0,1,1,1,2,1,0,0,1,465.4,529.9,488.3,389.1,560.0,0
3,1,2,2,2,2,1,1,1,1,570.7,599.9,552.3,757.8,880.0,2
1,0,1,1,1,4,1,0,0,1,412.7,503.7,564.3,654.6,920.0,0
16,3,4,5,4,5,4,1,1,2,634.4,613.9,560.2,690.6,740.0,1
0,0,3,5,3,5,1,0,0,1,546.0,563.7,574.9,517.7,640.0,2
3,0,2,2,1,3,1,1,0,1,530.0,582.3,495.5,688.9,880.0,2
2,0,1,3,0,4,1,1,0,0,536.3,576.1,575.2,485.5,0.0,0
2,2,1,4,1,4,1,0,0,0,561.7,636.5,608.2,561.7,0.0,0
3,0,1,4,3,5,1,0,0,1,586.0,627.3,641.9,627.3,860.0,2
9,1,2,4,3,6,1,1,0,2,475.3,416.5,505.4,578.2,520.0,0
10,2,5,7,3,6,3,1,1,1,578.4,551.3,558.8,696.5,840.0,1
1,0,0,1,0,1,1,0,0,1,394.7,428.2,483.4,427.5,680.0,0
2,0,2,7,0,0,1,0,0,2,430.4,451.3,301.4,349.8,580.0,0
2,0,5,1,5,4,1,0,0,0,537.0,422.6,400.9,332.6,360.0,0
1,1,1,2,1,4,1,0,0,0,586.7,611.1,588.0,636.6,620.0,0
2,0,5,5,5,5,1,0,0,1,379.4,508.1,530.3,635.3,500.0,0
0,0,1,1,5,1,2,0,0,1,343.3,487.6,495.9,480.2,580.0,0
1,1,1,2,1,4,1,0,0,1,465.6,501.6,451.6,427.2,500.0,0
5,1,2,3,4,5,2,1,1,1,538.8,595.2,514.7,592.5,920.0,2
4,1,3,4,3,6,1,1,0,2,454.1,550.7,491.4,566.4,560.0,1
1,0,2,2,3,3,1,0,0,2,441.1,382.9,477.8,520.2,540.0,0
2,0,0,1,0,1,1,0,0,1,506.5,523.1,452.9,490.4,600.0,0
6,0,3,4,3,5,1,1,0,1,610.3,564.6,588.9,613.2,520.0,2
1,1,0,1,0,0,1,0,0,1,431.4,352.7,371.4,573.6,680.0,0
9,2,3,5,1,4,1,2,1,3,429.8,524.9,459.1,419.2,620.0,2
1,0,1,1,1,3,1,0,0,1,458.6,450.5,510.9,472.5,420.0,0
1,0,1,4,1,4,1,1,0,1,558.4,545.3,566.5,522.3,600.0,2
3,1,2,2,1,3,1,0,0,1,455.3,515.8,495.9,416.7,280.0,0
2,1,2,4,3,6,2,1,0,1,463.5,443.0,512.9,454.5,360.0,0
11,3,3,4,3,4,3,1,1,3,644.9,644.5,595.3,757.2,800.0,1
6,3,3,4,3,6,1,2,0,2,563.9,537.4,532.6,609.4,700.0,2
6,2,2,1,3,6,1,1,1,1,534.9,624.0,600.2,692.2,800.0,2
2,1,2,3,1,2,1,0,0,1,533.4,582.8,612.1,595.5,520.0,0
2,0,2,7,5,3,1,0,0,1,573.0,610.8,578.2,560.2,560.0,0
4,1,3,3,3,4,2,0,0,1,574.6,606.8,579.6,519.0,460.0,2
6,1,3,4,5,4,1,2,0,2,489.1,516.9,538.6,613.1,440.0,1
1,0,1,1,1,7,1,0,0,1,447.3,490.6,496.5,420.8,0.0,0
4,0,0,4,0,3,2,1,0,1,518.0,615.8,529.8,519.6,540.0,2
3,1,3,5,3,5,4,1,0,4,494.4,504.7,521.9,661.6,480.0,1
1,0,1,1,1,2,1,0,0,1,517.6,581.1,587.1,479.2,940.0,0
7,3,3,6,0,4,3,1,1,2,402.3,635.7,497.2,526.6,700.0,1
2,0,0,1,1,1,2,0,0,1,456.7,434.7,507.6,450.7,480.0,0
2,0,2,1,1,3,1,1,0,1,391.2,498.3,508.6,380.7,500.0,0
4,1,2,2,1,4,2,1,0,2,560.9,573.3,529.1,487.1,580.0,2
3,0,1,3,1,2,2,0,0,1,538.0,582.5,624.2,601.0,540.0,0
2,0,2,1,1,3,1,0,0,1,446.4,384.7,340.7,351.2,580.0,0
1,0,0,0,0,4,1,0,0,1,625.5,634.2,666.5,726.0,720.0,2
7,2,3,5,3,5,3,4,0,2,603.5,648.3,606.3,723.1,980.0,1
1,0,2,4,1,4,1,0,0,1,502.7,589.3,489.1,482.8,680.0,0
2,1,5,1,0,1,1,0,0,1,465.0,657.1,558.5,423.3,580.0,0
1,0,0,7,0,7,1,0,0,0,402.9,437.7,371.1,355.5,440.0,0
1,0,2,3,0,3,1,0,0,1,0.0,309.8,403.2,0.0,680.0,0
12,2,3,6,3,6,1,1,1,3,496.5,471.8,443.5,588.1,760.0,1
1,0,3,3,3,4,1,0,0,1,438.4,386.8,461.7,360.6,280.0,0
13,2,4,6,3,6,3,2,1,3,486.4,558.7,551.6,586.6,840.0,1
1,0,1,4,1,4,1,0,0,1,393.1,522.5,504.6,649.8,840.0,0
0,0,5,3,5,3,1,0,0,1,388.1,503.1,504.1,417.0,340.0,0
1,0,0,4,0,4,1,0,0,0,527.1,567.3,423.0,460.1,460.0,0
1,0,0,1,0,1,1,0,0,1,355.4,380.7,375.8,458.8,400.0,0
1,0,0,1,0,2,1,0,0,1,546.4,554.0,539.9,399.3,580.0,0
4,0,2,4,5,4,2,1,1,2,490.5,575.5,574.0,524.8,600.0,2
1,0,2,3,2,5,1,1,0,2,506.3,585.9,558.6,579.0,620.0,2
1,0,5,7,1,3,1,0,0,1,515.7,598.4,582.5,500.8,580.0,0
1,1,5,7,5,4,2,0,0,1,609.3,610.2,639.4,637.3,960.0,2
1,0,0,1,1,2,2,0,0,1,534.3,488.5,475.5,524.6,740.0,0
3,2,5,4,2,4,2,0,0,1,576.0,660.2,681.9,542.8,540.0,2
7,1,5,7,3,6,2,0,0,1,680.3,669.9,636.6,890.2,940.0,2
4,1,3,6,3,6,1,1,0,1,614.4,618.2,625.1,661.4,840.0,2
0,0,2,0,1,0,1,0,0,1,476.9,353.1,425.0,383.0,540.0,0
4,1,3,4,3,6,2,0,0,2,469.9,517.1,479.7,507.5,540.0,2
4,0,0,2,5,5,2,2,1,2,525.4,364.2,551.9,378.0,900.0,2
1,0,0,2,0,3,1,0,0,1,418.5,417.6,457.7,461.4,500.0,0
2,0,2,3,3,5,1,0,0,1,723.5,642.4,645.4,870.5,840.0,2
9,2,3,6,3,5,1,1,0,1,665.3,679.3,634.4,666.2,700.0,2
1,0,5,7,1,4,1,0,0,1,455.5,568.6,547.9,473.2,800.0,2
1,0,5,0,0,1,1,0,0,1,587.5,562.3,550.2,462.0,600.0,0
1,0,2,3,3,4,1,1,0,0,451.1,533.2,556.1,358.4,540.0,2
8,1,5,1,3,6,2,1,1,1,455.5,520.5,469.1,389.7,500.0,2
2,1,3,4,1,4,1,1,0,1,414.5,406.4,481.8,491.1,440.0,2
6,2,3,5,1,5,2,1,1,4,607.3,593.3,594.5,680.0,760.0,1
1,0,0,2,1,2,1,0,0,1,381.3,390.2,438.5,344.2,600.0,0
4,1,3,1,3,5,2,1,1,1,561.6,568.7,580.6,467.5,840.0,2
6,1,5,5,3,5,2,1,1,1,577.2,508.8,572.7,654.9,840.0,2
1,0,0,3,0,4,1,1,0,1,537.2,541.4,484.0,470.2,560.0,2
1,0,2,3,1,2,1,0,0,1,342.3,382.0,414.5,382.4,540.0,0
2,0,0,1,0,4,1,0,0,1,544.1,451.1,444.8,398.1,520.0,0
2,1,0,1,0,1,2,1,1,2,509.9,536.7,489.2,451.5,300.0,2
1,1,0,1,0,1,1,1,0,1,498.0,508.6,483.5,434.1,820.0,0
2,1,3,4,3,4,2,2,0,2,533.4,419.2,510.2,425.7,520.0,2
0,0,0,1,0,1,1,0,0,1,499.6,551.5,511.7,502.6,960.0,0
1,0,0,0,0,0,1,1,0,0,429.1,437.7,457.5,359.5,460.0,0
1,0,2,2,5,4,1,0,0,1,557.4,459.9,480.5,543.6,580.0,0
0,0,1,4,1,4,1,0,0,1,390.3,502.0,534.3,430.1,360.0,0
1,0,4,3,1,3,1,0,0,1,364.1,418.8,357.4,381.4,300.0,0
15,3,4,5,4,6,2,2,1,3,543.7,521.4,583.7,658.5,940.0,1
2,0,1,3,1,4,1,1,0,1,413.6,516.1,496.5,435.9,580.0,2
3,0,5,7,5,4,1,1,0,1,543.3,440.6,457.8,342.1,240.0,0
7,0,3,4,3,5,1,1,0,1,518.0,624.6,544.7,667.4,820.0,2
1,1,0,0,2,4,1,1,0,1,437.2,394.8,424.2,376.2,520.0,0
4,1,3,2,3,4,2,2,0,2,530.6,499.1,524.0,506.0,820.0,1
1,0,5,7,1,4,1,0,0,1,454.1,489.8,487.6,483.1,460.0,0
1,1,2,4,5,2,1,0,0,1,429.2,558.4,495.6,578.5,620.0,0
6,1,5,4,5,4,1,1,1,1,575.5,593.2,396.7,616.3,620.0,2
0,0,0,2,0,2,1,0,0,1,516.5,565.5,558.8,575.1,880.0,0
9,0,4,6,4,6,2,2,1,1,571.5,571.0,543.9,621.8,820.0,1
3,1,3,4,3,4,2,1,0,1,463.5,487.6,476.0,389.5,500.0,0
3,0,2,1,5,3,2,1,0,2,520.5,523.1,492.6,637.6,620.0,2
4,1,5,4,5,0,1,0,0,1,515.6,547.5,506.1,590.3,880.0,0
8,1,4,6,4,6,3,1,1,3,386.1,450.2,485.1,534.3,580.0,1
1,0,1,1,0,1,1,0,0,1,466.6,580.3,552.1,420.7,580.0,0
0,0,0,1,0,2,1,0,0,0,377.1,450.2,433.6,445.7,640.0,0
2,0,0,1,0,4,1,0,0,2,323.6,337.0,441.6,353.1,460.0,0
2,1,0,7,1,4,2,1,0,2,525.2,525.4,488.9,515.5,760.0,0
8,1,4,6,3,6,2,1,1,1,467.8,537.6,546.5,503.0,680.0,2
2,0,0,1,5,4,1,0,0,1,428.7,327.4,369.4,429.7,580.0,0
1,0,1,2,1,2,1,0,0,1,513.0,500.4,477.1,437.8,420.0,0
1,0,0,1,1,2,1,0,0,1,551.1,563.1,543.7,512.8,800.0,0
1,0,0,3,0,4,1,0,0,1,521.3,460.5,503.6,354.6,720.0,0
1,0,2,1,1,7,1,0,0,1,506.5,555.9,541.4,471.6,560.0,0
2,1,1,4,2,4,1,0,1,1,433.0,598.0,577.4,602.2,700.0,2
3,0,1,4,3,2,2,0,0,2,541.4,620.7,599.2,610.7,560.0,2
3,2,2,4,2,3,2,2,1,1,595.9,520.7,533.0,620.6,720.0,2
3,0,2,4,1,3,2,0,0,1,522.5,496.6,483.7,545.7,0.0,0
1,0,2,3,5,4,1,0,0,1,389.5,487.7,492.5,466.2,820.0,2
2,0,1,1,1,2,1,0,0,1,439.2,432.6,435.6,417.9,720.0,0
2,0,2,3,1,4,2,0,0,1,459.7,348.6,399.9,371.4,460.0,0
2,0,1,2,1,0,1,0,0,1,383.8,380.5,323.6,339.5,440.0,0
4,0,2,7,1,1,1,1,0,2,528.7,444.2,499.3,423.4,580.0,0
7,1,3,4,3,6,2,1,0,3,529.4,509.2,476.9,423.7,760.0,1
14,0,3,6,4,6,2,0,0,2,662.0,626.8,641.7,798.6,920.0,1
1,0,0,1,0,1,1,0,0,1,451.5,431.6,485.3,361.5,360.0,0
1,0,5,2,1,4,1,0,0,0,462.6,470.1,477.6,488.2,460.0,0
1,0,0,3,0,4,2,0,0,2,499.1,536.7,532.7,471.5,460.0,0
4,0,5,4,5,4,1,1,0,2,439.8,584.7,575.2,444.0,600.0,0
2,0,5,4,2,4,2,0,0,1,463.4,461.0,509.7,442.1,860.0,0
1,0,5,4,1,4,1,0,0,1,360.2,557.5,485.8,379.4,0.0,0
1,0,3,0,1,7,1,0,0,1,409.7,566.8,574.4,620.4,920.0,0
5,1,1,1,1,1,1,0,0,2,379.7,369.5,425.6,405.6,0.0,0
3,1,2,5,1,4,1,0,0,1,462.4,455.5,510.8,353.0,640.0,0
6,1,3,4,3,5,3,1,1,2,546.5,532.1,484.2,636.2,600.0,1
1,0,0,1,0,3,1,0,0,1,386.1,311.6,317.6,379.1,420.0,0
1,0,2,1,1,3,1,0,0,1,555.7,553.2,492.1,691.8,620.0,0
12,2,4,5,3,5,4,1,0,1,676.7,662.8,608.4,806.1,900.0,1
1,0,0,1,0,1,1,1,0,1,442.7,440.3,507.0,478.3,620.0,0
1,0,0,1,0,2,1,0,0,1,430.9,374.2,420.0,335.7,580.0,0
6,1,3,4,3,4,3,0,1,2,560.3,768.4,572.1,655.5,480.0,2
7,2,3,4,3,4,3,2,1,2,620.1,598.8,501.2,752.3,920.0,1
1,0,3,4,1,7,1,0,0,1,462.3,582.5,506.1,646.0,820.0,0
1,0,5,7,3,4,1,1,0,1,400.8,372.0,418.8,459.7,380.0,0
7,1,4,6,3,5,3,1,0,1,549.6,548.3,591.9,658.8,920.0,1
1,0,0,7,3,3,1,0,0,1,435.2,470.9,481.3,378.5,780.0,0
1,0,0,1,0,3,1,1,0,4,333.8,423.2,494.8,449.6,300.0,2
3,0,3,4,1,4,1,1,1,1,464.6,327.3,509.5,390.2,680.0,2
0,0,0,2,0,2,1,0,0,1,390.7,510.2,505.4,549.3,800.0,0
3,1,5,4,1,5,1,1,0,1,403.5,480.4,410.2,589.9,580.0,0
1,1,5,7,2,4,1,0,0,1,383.1,460.8,518.4,504.7,440.0,0
4,1,3,4,3,4,3,1,0,2,644.6,663.6,642.9,654.2,940.0,2
2,0,0,1,2,3,1,2,0,1,469.9,504.7,429.5,453.9,520.0,0
1,1,2,4,1,1,1,0,0,1,482.1,644.3,592.3,559.3,680.0,0
8,1,3,5,3,5,1,2,1,3,482.1,461.4,602.1,426.2,600.0,2
1,0,1,3,1,3,1,0,0,1,421.3,481.8,450.2,420.0,540.0,0
1,0,5,3,1,3,1,0,0,1,459.1,506.5,482.2,403.7,280.0,0
4,1,2,1,3,5,2,0,0,1,480.5,584.5,543.7,634.6,600.0,2
3,0,5,7,2,3,2,0,0,1,473.3,480.0,514.1,517.1,540.0,0
2,1,2,4,1,4,1,1,0,1,468.7,536.6,514.7,448.9,660.0,2
1,0,1,2,2,4,1,0,0,1,455.8,508.5,456.6,406.9,880.0,0
0,0,1,2,1,2,1,0,0,1,471.1,462.9,477.5,384.9,560.0,0
1,0,1,4,2,4,1,1,0,1,488.5,591.9,568.9,561.6,880.0,2
1,0,3,5,3,5,1,0,0,0,444.1,455.3,514.1,428.2,720.0,2
2,0,2,4,2,4,2,0,0,2,541.8,526.6,549.1,517.2,820.0,2
2,0,0,4,0,2,1,1,0,1,460.4,498.1,463.3,429.9,660.0,0
2,1,2,3,1,3,1,2,1,4,348.6,494.8,525.3,461.8,580.0,1
0,0,1,2,1,7,1,0,0,1,442.2,423.7,384.0,406.7,520.0,0
7,2,2,4,3,6,2,2,0,1,601.7,653.7,649.3,624.7,880.0,1
16,1,3,7,4,6,4,2,1,4,441.8,383.5,420.5,413.5,480.0,1
5,0,0,2,0,4,1,0,0,0,528.3,391.8,441.3,564.3,720.0,0
6,1,5,7,2,2,3,1,1,1,469.1,491.1,458.3,453.5,540.0,2
5,1,5,7,3,5,2,1,0,1,602.2,582.8,543.9,664.0,660.0,2
16,2,4,6,4,5,4,2,1,4,556.2,466.6,466.1,580.4,600.0,1
0,0,5,7,0,4,1,0,0,1,574.1,540.7,520.9,478.3,920.0,2
3,0,2,1,5,1,1,1,0,2,579.7,592.4,581.3,563.6,740.0,2
3,0,1,4,2,4,1,1,0,1,523.0,479.8,541.6,572.6,460.0,2
5,0,3,3,1,4,1,0,0,1,446.6,489.0,459.6,482.3,880.0,0
1,1,2,2,5,4,2,0,0,3,565.1,577.8,529.6,555.2,320.0,2
0,0,5,4,3,4,1,0,0,1,473.1,401.9,354.4,376.2,320.0,0
3,0,1,2,1,4,1,1,0,1,497.7,458.3,496.8,365.6,560.0,0
0,0,2,1,1,2,1,0,0,1,402.1,523.4,388.0,409.9,480.0,0
1,0,5,7,1,1,1,0,0,1,439.4,545.0,537.5,456.5,680.0,0
4,0,2,1,1,2,1,0,0,1,530.5,582.3,558.3,638.4,580.0,0
0,0,0,7,1,1,1,0,0,0,405.8,456.0,357.4,448.5,280.0,0
3,0,2,2,3,5,1,0,0,1,458.3,578.2,533.9,546.7,380.0,2
2,0,0,4,3,4,1,1,0,1,405.3,502.4,481.9,451.8,540.0,2
0,0,5,7,1,4,1,0,0,1,380.2,442.1,294.7,382.5,440.0,0
0,0,5,4,5,4,1,0,0,2,343.3,423.7,391.2,369.2,0.0,0
1,0,0,7,1,5,1,0,0,1,504.0,497.3,502.1,395.1,640.0,0
7,0,0,2,0,2,2,0,0,1,411.9,412.6,487.5,485.7,440.0,0
1,1,5,7,5,4,2,1,1,1,560.5,556.2,510.9,511.5,320.0,2
7,1,3,2,3,6,2,0,0,1,546.2,606.9,602.5,659.8,880.0,2
0,0,5,7,1,4,1,0,0,0,451.4,457.5,401.7,378.5,400.0,0
4,0,2,3,2,3,1,1,0,1,452.0,503.9,483.6,625.9,860.0,2
3,0,5,4,5,2,2,1,1,1,474.4,512.5,482.1,583.0,560.0,2
1,1,5,7,1,7,1,0,0,1,444.4,493.2,470.6,422.8,580.0,0
9,1,4,6,4,6,2,1,1,1,587.6,621.6,580.7,633.7,840.0,2
1,0,2,4,2,4,1,0,0,1,528.5,513.6,485.5,625.5,880.0,0
13,2,4,5,4,4,3,1,1,2,618.7,632.4,562.6,734.2,760.0,1
1,0,5,7,1,4,2,0,0,1,440.9,422.8,426.6,510.9,900.0,0
0,0,5,4,1,4,1,0,0,1,471.9,507.2,472.2,494.5,500.0,0
6,1,1,5,3,6,2,1,1,2,0.0,639.0,551.3,0.0,860.0,0
6,0,2,1,2,1,2,1,1,3,425.6,537.0,499.9,459.3,720.0,2
1,0,1,2,3,4,1,0,0,1,601.4,609.1,633.1,499.7,980.0,2
7,1,4,5,3,5,2,2,1,2,415.3,487.0,469.0,381.0,580.0,2
5,1,1,5,1,5,1,1,0,1,544.0,573.5,518.4,530.8,720.0,2
1,0,1,1,1,4,1,0,0,1,439.1,490.6,527.6,675.7,640.0,0
13,1,4,6,1,3,4,1,1,2,542.1,619.9,513.3,691.9,600.0,1
1,0,2,2,1,4,1,1,1,2,391.1,543.8,520.5,565.5,780.0,2
2,1,1,1,1,1,1,1,1,1,463.5,523.3,543.7,411.6,520.0,2
2,1,5,4,1,4,1,0,0,1,366.2,480.9,518.9,385.8,460.0,0
3,0,1,4,2,7,1,1,0,0,380.9,529.9,530.9,430.4,560.0,0
4,0,1,4,5,4,2,1,0,1,429.0,500.9,467.1,424.4,360.0,0
1,0,0,0,1,1,1,0,0,1,0.0,423.0,436.3,0.0,440.0,0
1,0,1,1,1,1,1,0,0,1,507.7,558.3,550.6,454.4,440.0,0
6,0,3,5,3,4,1,0,0,1,566.2,527.8,514.6,661.0,840.0,2
16,3,4,6,4,6,4,2,1,3,624.6,636.7,601.7,735.1,940.0,1
0,0,0,1,0,1,1,0,0,1,385.5,323.2,348.5,393.1,480.0,0
0,0,0,7,0,3,1,0,0,0,519.3,585.4,536.3,524.5,800.0,0
2,0,1,5,1,4,1,0,0,1,435.5,382.8,466.9,496.6,680.0,0
2,1,2,7,1,1,1,0,0,1,450.6,482.8,473.2,487.0,460.0,0
3,0,3,4,3,4,1,1,0,2,467.9,462.7,434.1,402.3,560.0,0
4,2,4,5,4,5,1,1,1,3,578.5,543.2,539.0,642.5,880.0,2
1,0,1,4,1,1,1,0,0,1,506.3,624.5,603.7,614.5,880.0,2
2,0,2,2,1,1,1,0,0,1,473.1,476.2,473.9,423.1,500.0,0
0,0,5,7,5,7,1,0,0,0,458.8,491.5,497.9,367.4,520.0,0
4,1,0,7,0,3,2,2,0,1,593.6,583.5,494.0,609.1,880.0,0
11,1,3,4,4,6,4,3,1,4,659.7,642.4,622.0,791.2,840.0,1
1,1,0,0,0,1,1,0,0,1,659.1,639.7,524.1,697.4,920.0,0
2,2,1,4,4,6,1,0,1,2,432.7,553.3,413.4,392.2,660.0,2
1,0,3,3,3,4,2,1,1,1,494.0,586.4,565.2,561.4,660.0,2
2,0,1,5,1,1,2,1,0,1,455.4,532.6,470.4,365.9,500.0,0
2,1,2,1,5,0,1,0,0,1,400.5,512.2,461.1,410.0,560.0,0
0,0,0,1,0,1,1,0,0,0,453.4,376.9,358.6,338.7,480.0,0
2,0,0,1,1,3,1,0,0,1,545.8,540.3,478.8,704.7,620.0,0
3,0,1,1,0,4,1,0,0,1,471.3,359.0,483.0,376.4,540.0,0
3,0,0,1,0,2,1,0,0,1,381.5,497.9,505.4,395.5,860.0,0
11,4,4,5,5,6,4,2,1,1,548.0,527.3,546.1,673.3,760.0,1
0,0,1,2,1,2,1,0,0,1,519.0,502.3,517.0,605.1,640.0,0
2,0,3,5,1,4,2,1,0,1,375.1,330.5,424.9,424.5,460.0,0
1,1,5,2,1,4,1,0,0,2,428.3,557.2,506.4,371.4,480.0,0
2,0,3,4,5,4,2,0,0,1,406.7,485.4,489.5,497.4,640.0,0
1,0,0,1,0,4,1,0,0,1,421.4,444.0,413.0,391.7,400.0,0
4,0,5,2,5,4,1,1,0,1,523.7,475.0,543.8,394.2,560.0,0
7,2,3,4,5,4,2,2,0,1,444.8,503.1,490.0,465.6,800.0,2
3,1,3,5,5,4,2,1,0,1,495.4,390.3,427.8,330.7,560.0,0
4,1,1,4,1,3,2,1,1,1,479.8,443.5,534.3,549.6,780.0,2
4,1,2,4,1,7,1,1,0,2,521.6,393.0,444.6,464.8,560.0,0
9,2,0,4,0,5,2,3,0,2,734.2,707.0,666.6,844.0,900.0,1
14,1,4,6,4,5,3,2,0,1,669.9,625.7,588.1,768.3,860.0,1
6,1,3,4,3,6,3,2,1,1,597.7,438.2,567.9,669.1,800.0,1
4,0,2,4,1,4,1,1,1,1,429.3,383.7,434.9,447.1,400.0,2
1,0,1,4,1,3,1,0,0,1,512.1,579.5,504.1,470.8,440.0,0
9,2,1,5,4,6,1,1,1,4,482.4,546.7,459.8,644.7,540.0,1
0,0,0,0,0,2,1,0,0,1,413.1,475.3,447.9,347.4,0.0,0
6,3,3,6,3,6,1,1,1,2,461.2,495.1,463.6,578.5,780.0,1
2,2,1,2,2,1,1,0,0,2,513.8,493.5,552.5,489.1,960.0,0
4,1,1,4,0,3,1,0,0,1,361.1,375.8,462.3,492.2,740.0,0
2,1,1,3,5,4,1,2,0,1,470.9,448.5,491.2,411.3,540.0,2
2,0,0,7,2,7,1,1,0,1,388.6,468.7,469.9,354.8,0.0,0
1,0,0,1,0,1,1,1,0,1,438.6,515.8,459.3,358.8,760.0,0
2,0,2,4,1,7,1,1,0,1,423.3,588.0,539.8,651.8,900.0,2
1,0,2,1,1,4,1,0,0,1,513.4,442.3,568.9,661.1,660.0,0
1,0,1,4,1,6,1,0,0,1,532.2,520.9,554.2,564.8,900.0,2
11,2,4,6,4,6,3,2,1,1,571.5,594.6,477.6,600.4,900.0,1
6,3,2,4,3,6,2,1,1,3,541.8,586.3,580.9,548.4,920.0,1
14,2,3,5,4,6,3,2,0,3,644.1,610.9,567.4,715.5,980.0,1
4,1,5,7,5,7,1,1,1,3,442.7,427.3,452.2,529.8,300.0,2
5,2,3,5,3,6,3,1,1,2,540.3,568.0,592.8,606.9,720.0,1
2,0,1,3,1,2,1,0,0,1,564.0,584.7,546.1,428.2,540.0,0
3,1,2,4,5,4,2,1,0,2,386.6,549.9,516.1,579.9,560.0,2
4,1,2,3,2,4,1,1,0,1,622.0,604.1,594.6,724.0,880.0,2
5,1,2,2,3,4,2,1,0,0,601.5,603.4,624.3,718.0,600.0,2
16,3,4,6,4,6,4,2,1,2,736.9,728.9,624.5,897.9,880.0,1
15,3,4,6,4,6,3,1,1,3,446.2,560.7,545.0,764.4,800.0,1
1,0,2,3,1,4,1,1,0,1,513.8,552.7,543.7,452.0,680.0,2
5,1,1,1,5,2,1,1,1,1,480.6,537.9,570.8,657.9,920.0,2
3,0,2,2,1,4,1,0,1,1,484.9,511.5,470.7,445.0,560.0,2
16,4,4,6,5,6,4,2,1,4,391.1,520.2,432.6,649.0,520.0,1
1,0,0,2,0,2,1,0,0,1,475.4,447.3,462.2,368.2,560.0,0
4,0,3,3,3,2,2,1,0,1,562.1,604.5,568.0,695.2,880.0,2
7,1,5,6,5,4,3,1,1,3,448.3,572.4,600.5,462.4,600.0,1
1,1,4,7,5,7,1,1,0,0,346.6,378.2,324.6,362.8,820.0,0
6,0,4,6,3,4,2,0,1,3,423.4,436.4,504.8,398.2,580.0,2
1,0,0,0,5,0,1,0,0,0,560.4,510.2,512.2,467.1,720.0,0
4,3,3,4,2,4,1,0,0,1,544.6,588.2,632.7,598.0,660.0,2
4,0,1,1,3,6,1,1,0,2,484.0,523.3,464.4,557.2,360.0,2
8,0,1,2,3,6,2,1,1,2,523.9,466.5,516.6,520.6,600.0,1
5,1,3,5,5,4,2,1,1,1,461.0,597.4,601.7,426.2,620.0,2
10,2,3,4,4,6,2,1,1,2,711.7,778.3,619.7,756.0,900.0,1
2,1,5,5,3,5,1,0,0,1,648.0,702.8,614.3,793.1,940.0,2
