,0
Q006,0.1275207739728743
Q024,0.09888414953505942
Q003,0.08079225413664082
Q001,0.0770752731129094
Q002,0.07324349575575306
Q004,0.0701806693236402
Q008,0.0680936092572495
Q010,0.06405062127813355
Q018,0.049425709691147235
Q019,0.04940877775720365
Q016,0.043274321058194065
Q013,0.041336310941676446
Q014,0.03915109362041447
TP_COR_RACA,0.03715588884399734
Q022,0.036453185449929926
TP_ESCOLA,0.0350590365369392
Q009,0.029785248579112356
Q007,0.021387740986111625
Q021,0.019976685435915797
Q025,0.017993909371134986
TP_SEXO,0.015138750566657144
Q017,0.012289552982862606
Q023,0.011438629814932266
TP_FAIXA_ETARIA,0.01113351372147875
Q012,0.010432409226655004
Q020,0.009971006603747501
Q015,0.009205936460669806
Q005,0.007082588424883962
TP_ESTADO_CIVIL,0.0029142683074045994
Q011,0.0014746526613065303
